artista_musical,biografía,Link_información,url_imagen,redes_social,género_musical,información_género,audiencia_Spotify,canción_más_escuchada,reproducciones,url_video,colaboraciones_artistas
Arena Hash,"Arena Hash es el nombre de un grupo de Rock peruano de la década de los ochenta (1986), liderado por Pedro Suárez-Vértiz como voz y guitarra Patricio Suárez-Vértiz en el bajo Alex Kornhuber con la guitarra y Arturo Pomar Jr. en la Batería. El cuarteto nació en las aulas del Colegio Maria Reyna de San Isidro en 1986, en la ciudad de Lima, Perú.",https://www.last.fm/es/music/Arena+Hash/+wiki,https://i.scdn.co/image/ab67616d0000b2738f94c604981194811885427f,,Pop|Rock,,518k,Y Es Que Sucede Así,48M,https://open.spotify.com/intl-es/track/7pXuEZPcMT6aDpaKsMp73f?si=5429c2a6b9614ef2,
Chacalón y La Nueva Crema,"Nació en el distrito de La Victoria, en Lima, el 26 de abril de 1950. Fue hijo biológico de Lorenzo Palacios Huaypacusi (Danzante de tijeras), y Olimpia Quispe. Su madre luego se casó con Silverio Escalante, albañil, con quien tuvo 14 hijos. Debido a la escasez económica de su hogar, Chacalón bailó y cantó desde pequeña edad acompañándose de sus amigos humiteros (vendedores de humita). ",https://www.last.fm/es/music/Chacalon+y+la+Nueva+Crema/+wiki,https://is1-ssl.mzstatic.com/image/thumb/Music49/v4/56/5f/93/565f93ba-4792-959c-11b0-c4281b9679e5/cover.jpg/600x600bf-60.jpg,,Chicha,,104k,Soy Provinciano,2M,https://open.spotify.com/intl-es/track/1FyFPQYR1zutiRLc4aUVc2?si=eb245395ffa04e7a,
Los Shapis,"Los Shapis es un grupo musical tropical peruano considerado como uno de los iniciadores de la Cumbia andina peruana. El 14 de febrero de 1981, Julio Simeon mas conocido como ""Chapulín el Dulce"" y Jaime Moreyra, crearon en Huancayo, el grupo musical ""Los Shapis"", fueron los verdaderos embajadores del ritmo andino (Música chicha), viajando a muchos paises, internacionalizaron este ritmo. Sus canciones mas conocidas son: El Aguajal, Borrachito Borrachon, Ladron de Amor, La Novia, Corazon Andino, Tengo Que Mentir, Ambulante Soy, Mi Tallercito, Marujita, etc.",https://www.last.fm/es/music/Los+Shapis/+wiki,https://i.scdn.co/image/ab67616d0000b2735151b7503bc802de590282e0,,Cumbia|Chicha,,442k,Corazón Andino,25M,https://open.spotify.com/intl-es/track/28gpsgc84Zt5dymQTUILtU?si=cab86ef9b59847d4,
Grupo Nectar,"El grupo Néctar es una banda de cumbia peruana o cumbia andina formada en Buenos Aires, Argentina en 1994 por Johnny Carlos Orozco Torres (cantante) (Pomapata , Ancash, Perú, 6 de julio de 1970 - Buenos Aires, Argentina, 13 de mayo de 2007), Ricardo Papita Hinostroza (congas) (1951-2007), Enrique Orosco (bajista) y Juan Carlos Marchand (batería) (1973-2007).",https://www.last.fm/es/music/Grupo+Nectar/+wiki,https://cdn-images.dzcdn.net/images/cover/dbed338300034f5c35e4e9b7e596e0cb/1900x1900-000000-80-0-0.jpg,,Cumbia,,455k,El Arbolito,27M,https://open.spotify.com/intl-es/track/5EdmVvPAHCB9QOvknGFZf6?si=0833ebeba9aa4401,
Rossy War y Su Banda Kaliente,"La carrera musical de Rossy War continuó en 1984 cuando se integró como parte del coro en el grupo tropical Los Bio Chips, luego de ser seleccionada entre 37 concursantes. Existe una anécdota de tal momento, pues cuando le llegó su turno y se le pidió que cante, ella no pudo ocultar su rubor al extremo de ponerse ""roja como un tomatito"".",https://www.angelfire.com/pe/rossywar/bio.html,https://f.rpp-noticias.io/2024/01/06/185918_1521854.jpg?imgdimension=look,,Tecnocumbia,,606k,Nunca Pense Llorar,28M,https://open.spotify.com/intl-es/track/3oXF0sRycbyJUDRd5BqTUw?si=29ec7241ee4f46aa,
Dilbert Aguilar y su Orquesta la Tribu,"Dilbert Aguilar es un cantante y compositor de música tropical peruana de origen norteño que integró inicialmente el grupo ""Agua Dulce"". Luego formaría el grupo ""Los Chicos Dulces"" para luego desarrollarse como solista acompañado de su grupo ""La Tribu"". Tiene más de 15 años en la música y una productora llamada C & D Producciones S.A.C. conformada por él y la animadora de cumbia, Claudia Portocarrero.",https://www.last.fm/es/music/Dilbert+Aguilar/+wiki,https://f.rpp-noticias.io/2024/09/06/403540_1637590.jpg?imgdimension=look,,Chicha,,254k,No Me Olvides,4M,https://open.spotify.com/intl-es/track/5Xk15vqNbHGVBANqB2qzDx?si=86eeb473ad9945ae,
Los Mirlos,"Los Mirlos son los creadores de la cumbia amazónica, una de las muchas manifestaciones de la cumbia peruana. Es un grupo de larga trayectoria, originario de la ciudad de Moyobamba, en el departamento de San Martín, en Perú, cuyo origen selvático les valió el apodo de ""Los Charapas de Oro"". Sus inicios se remontan al año 1968, y su carrera musical se prolonga hasta la actualidad.",https://www.last.fm/es/music/Los+Mirlos/+wiki,https://cdn-images.dzcdn.net/images/cover/a960a54a33cca536a808751caca8d7b7/0x1900-000000-80-0-0.jpg,,Cumbia|Fusión,,650k,La Danza de los Mirlos,36M,https://open.spotify.com/intl-es/track/0AnwIwxt96ERVRohy7hcnU?si=caa24d9070154677,
Los destellos,"Los Destellos nacen en 1966 gracias a su fundador Enrique Delgado Montes. Iniciaron interpretando el rock ""Nueva Ola"" y ""El Vals"". En año 1967, Enrique ya tenia preparado los 12 temas que serian la partida de Nacimiento de la cumbia peruana con el primer tema ""El Avispón"", pero es con ""La Malvada"" a donde llegan a la cúspide de la popularidad.",https://www.last.fm/es/music/Los+Destellos/+wiki,https://i.ytimg.com/vi/pSnYBJKqDIM/sddefault.jpg,,Chicha,,351k,Guajira Sicodélica,13M,https://open.spotify.com/intl-es/track/0oucyVmfZtpU608vpYA1rs?si=fd2935552e234fda,
Juaneco y Su Combo,"Aparece en el año 1966, en la Amazonía peruana, teniendo como integrantes fundamentales a Juan Wong Paredes ""Juaneco"" en los teclados, a Noé ""El Brujo"" Fachín en la primera guitarra, a Wilindoro Cacique en la primera voz, Rosendo Hidalgo el los timbales, Walter Dominguez en el bajo, Juvencio Pinchi en las conga y Wilverti Murrieta en la segunda guitarra.",https://www.last.fm/es/music/Juaneco+y+su+Combo/+wiki,https://www.600discoslatam.com/wp-content/uploads/2024/05/328-Juaneco-gran-cacique.jpg,,Cumbia|Fusión,,115k,Ya Se ha Muerto mi Abuelo,5M,https://open.spotify.com/intl-es/track/01coR52VHa06J1DnMkls29?si=784fa5ac3ddc4dfb,
Pintura Roja,"El equipo liderado por Alejandro Zárate se ha convertido en un clásico en los hogares peruanos, si tema más conocido es ‘El Teléfono’, una canción que quedó en la memoria de todos por la voz de Milagros Soto, la ‘Princesita Mily’, quien lamentablemente falleció recientemente.",https://www.infobae.com/peru/2023/05/23/pintura-roja-como-nacio-la-agrupacion-de-cumbia-que-tuvo-en-sus-filas-a-la-princesita-mily-y-la-munequita-sally/,https://cdn-images.dzcdn.net/images/cover/990e8a06269c910e88d9bd064e9a3bc4/0x1900-000000-80-0-0.jpg,,Cumbia|Tecnocumbia,,140k,El Teléfono,8M,https://open.spotify.com/intl-es/track/1x1ckJjRzTenLOCYLjel4u?si=10932d54b89747c0,
La Progresiva del Callao,"La emblemática institución salsera, más reconocida de todos los tiempos, nos da a conocer a través de sus recientes declaraciones del afamado músico y cantante ""Chango"" director de La Progresiva del Callao, que viene renovado este año, con un nuevo tema “ Si tú quieres salsa “. Esta canción  ha sido compuesta por Daniel Venegas & Eugenio Chávez ,motivo por el cual nos deleitará con sus mejores éxitos que marcaron historia en los 80 / 90.",https://diariocorreo.pe/espectaculos/la-progresiva-del-callao-celebrara-su-37-aniversario-759339/,https://i.discogs.com/RnlH4T0saaY5AI9m1iDwN5DQOhpJHQRA2rOxgZJo0Zs/rs:fit/g:sm/q:90/h:363/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxNzcw/NDQzLTE3MjY3MjIw/MDQtNjM2My5qcGVn.jpeg,,Salsa,,30k,Otro Ocupa mi Lugar,1M,https://open.spotify.com/intl-es/track/2lYM0cGiaslQLXw7fnWxvo?si=218c8ed5fe704cac,
Orquesta Camagüey,"Camagüey es una exitosa orquesta de salsa fundada un 16 de febrero de 1943 por Reynaldo Menacho Muñoz. En sus inicios, era un sexteto que respondía al nombre de Camboman, debido a que sus integrantes residían en las avenidas victorianas de Canta, Bolívar y Manco Cápac.","https://www.radiomar.pe/artistas/camaguey/#:~:text=Camag%C3%BCey%20es%20una%20exitosa%20orquesta,Canta%2C%20Bol%C3%ADvar%20y%20Manco%20C%C3%A1pac.",https://scontent.flim26-1.fna.fbcdn.net/v/t1.6435-9/151415793_4352345768115120_3118694416675585467_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=127cfc&_nc_ohc=PAN6--czYHAQ7kNvwEfFeU_&_nc_oc=AdnNdPOnCD_PABjVbQHhnUuGUTsLqaWyiAgAMLKQ03oBNUok_nkI4wb9Z7mRDQ_7tVs&_nc_zt=23&_nc_ht=scontent.flim26-1.fna&_nc_gid=pTaVX8rCa3eIIyU7PEvRCg&oh=00_AfNhKmO-3_ssOGP2ewi-Yl5AZqUg5D4eJwARZEGGNTJJbw&oe=6870166E,,Salsa,,233k,Rendido Ante Ti,8M,https://open.spotify.com/intl-es/track/6EFICp44H1q4r1WvBEspfk?si=50f824d48a0a4b23,
Daniela Darcourt,"Desde sus inicios en la orquesta Son Tentación hasta su exitosa carrera como solista, ha demostrado versatilidad y compromiso con su arte. Su discografía incluye álbumes como Esa soy yo (2019), Empezando otra vez (2022) y Catarsis (2023), este último nominado al Latin Grammy en la categoría de Mejor Álbum de Salsa.",https://lasalsaesmivida.com/daniela-darcourt-soy/,https://danieladarcourt.pe/wp-content/uploads/2022/11/EmpezandoOtraVezDD1-1024x1024.jpg,,Salsa|Pop,,571k,Señor Mentira,38M,https://open.spotify.com/intl-es/track/7uebcjB4PNrMzTUdxCefno?si=37e3866b44c34743,
Son Tentación,"Esta agrupación se encuentra liderada por Paula Arias, pero la dirección musical está en manos de Susana Albert. Tras la conformación de Son Tentación, cada una de sus integrantes fueron escogidas por su talento y vinculación con el mundo del espectáculo, es así como dentro de esta banda musical conviven actrices, bailarinas, comunicadoras sociales e incluso animadoras.",https://www.buenamusica.com/son-tentacion/biografia,https://portal.andina.pe/EDPfotografia3/Thumbnail/2024/08/07/001089903W.jpg,,Salsa,,211k,Déjala,16M,https://open.spotify.com/intl-es/track/4Aa6TYTI7q9SqnPKVA7Lfq?si=f5b64d06d5a24263,
Brunella Torpoco,"Brunella Torpoco es una joven cantante y compositora nacida en el barrio de Chacaritas (Callao) en 1999. Desde muy pequeña demostró que quería dedicarse a la música debido a que cantaba junto a su padre en algunos eventos. A los 17 años ya impactaba por su particular voz al ponerle un estilo marcado. Rápidamente, fue bautizada como la ‘Ronquita de la salsa’ y fue en el 2021 que empezó a hacerse un nombre en la industria musical, especializándose en la salsa de despecho.",https://www.radiomar.pe/artistas/brunella-torpoco/,https://portal.andina.pe/EDPfotografia3/Thumbnail/2023/03/04/000938255W.jpg,,Salsa,,198k,Honda Costumbres,7M,https://open.spotify.com/intl-es/track/6kgm8RSRCeg6wblClhq8m5?si=f1133540cff34d51,
Amy Gutiérrez,"Amy Gutiérrez es una famosa cantante, bailarina y compositora que nació el 25 de agosto de 1998 en el Callao (Perú). Desde pequeña participó en varios programas de talento, demostrando sus cualidades, aunque cobra notoriedad por ganar la primera temporada de ‘La Voz Kids’. Lanzó su primer sencillo ‘Alguien’ (con el apoyo de Universal Music Group) y también participó en algunas obras de teatro. Para el 2017 y con tan solo 18 años, pasó a formar parte de la agrupación Son Tentación, pero tan solo un año después decidide marcharse.",https://www.radiomar.pe/artistas/amy-gutierrez/,https://f.rpp-noticias.io/2023/05/27/202820_1433251.jpg?imgdimension=look,,Salsa|Pop,,217k,Vamos a Escapar - Versión Salsa,18M,https://open.spotify.com/intl-es/track/1A474NyT5UKjqElE2JN6Km?si=2b1de13812db4278,
Zaperoko La Resistencia Salsera del Callao,"El nombre original de la agrupación es La Orquesta Zaperoko La Resistencia Salsera del Callao, pero muchos la conocen simplemente como Zaperoko. Esta orquesta se formó en el 2009 y los músicos son 100% chalacos, pues la esencia principal de esta orquesta es rescatar la identidad del salsero del callao. Una de las interpretaciones más recordadas de estos salseros es ‘La revancha’ que originalmente pertenece a Cuco Valoy. Asimismo, otra de las salsas más sonadas de Zaperoko es ‘Mala mujer’.",https://www.moda.com.pe/noticias/musica/conoce-mas-de-zaperoko-30868/,https://imgmedia.larepublica.pe/1200x630/larepublica/original/2022/09/04/63152fc5751b0e4b4d0e6353.jpg,,Salsa,,228k,La Revancha,11M,https://open.spotify.com/intl-es/track/31ddSBJ1NfFZAZ6HGPoWMV?si=28d73804860b43eb,
Josimar y Su Yambú,"Josimar y Su Yambú es una orquesta peruana formada en 2011, que incursionó en la industria musical con el género de la salsa. Esta banda musical se encuentra liderada por Josimar Fidel, quien es un destacado músico con varios años de trayectoria tras haber pertenecido a varias agrupaciones como Caribeños de Guadalupe, Mangu, Grupo 5 y La Novel.",https://www.buenamusica.com/josimar-y-su-yambu/biografia,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeXcDuMB7hfO-5U_v6XkHE1KMycjj4r70Cvg&s,,Salsa,,561k,Con la Misma Moneda,47M,https://open.spotify.com/intl-es/track/7uxnFapaeICZNrr73vFPUX?si=0479b38f6d3e4f82,
Agua Marina,"Agua Marina es un grupo de cumbia peruana, que fue formado en la ciudad de Sechura (Piura) en 1976. Es considerado, junto con Armonía 10, agrupación de la misma región, pieza importante en el afianzamiento de la cumbia peruana como género.",https://www.last.fm/es/music/Agua+Marina/+wiki,https://play-lh.googleusercontent.com/KLC20Jyr6O-qUKjawcDR8MK16uLdPDIUXScN6nc-fmxI16-BUkreSUwayhODIA939A,,Cumbia,,989k,Tu Amor fue una Mentira,50M,https://open.spotify.com/intl-es/track/63cuVD4SI7Nx1iG7wHYiYd?si=1308fb1f5dfd46ae,
Grupo 5,"“Grupo 5” de Monsefu-Chiclayo, creado un 31 de enero del año 1973 por los hermanos: Víctor y Elmer Yaipen Uypan, se inicio con el ritmo romántico alcanzando grandes triunfos. El 09 de noviembre del año 1999, “Grupo 5” pierde a su líder, Elmer Yaipen Uypan, mas conocido como “El faraón de la cumbia”, tomando luego la dirección sus hijos: Andy y Elmer Yaipen Jr. Desde entonces con la bendición de su padre y de Dios, “Grupo 5”, viene trabajando arduamente y con mucha responsabilidad, grabando temas en el 2000 como, “Asi se goza”, “Perdóname” y “el mix meti mi pi” o mas conocido como “El pícaro”.",https://www.last.fm/es/music/Grupo+5/+wiki,https://larepublica.cronosmedia.glr.pe/migration/images/CFSVFGZPUFDNRL7OZCAOGJIFWM.jpg,,Cumbia|Tecnocumbia,,1.2M,Motor y Motivo,58M,https://open.spotify.com/intl-es/track/2yjHvbMtfyoXXJYpsR3rYP?si=cbeaf8ff623e4fff,
Armonía 10,"Armonía 10 se fundó gracias al músico Juan de Dios Lozada Naquiche. Inicialmente se conoció como Los Blanders. Tiempo después, cambiaron al actual por el número de sus integrantes. Comenzaron presentándose en localidades y barrios de Piura, Perú. Interpreta cumbia norteña. Sus letras son alegres, bailables y destacan costumbres peruanas.",https://www.buenamusica.com/armonia-10/biografia,https://f.rpp-noticias.io/2024/05/15/470347_1582219.jpg?imgdimension=look,,Cumbia|Tecnocumbia,,932k,Dios Mío Hasta que me Enamoré,37M,https://open.spotify.com/intl-es/track/4kzOSWuuJtde6nXW5vLmQD?si=28f288bf2c5841ba,
Marisol y La Magia del Norte,"Marisol inició su carrera musical a los 14 años, colaborando con diversas orquestas de su región. En 2004, decidió formar su propia agrupación, Marisol y la Magia del Norte, logrando éxitos como «30 segundos» y «Si me ibas a dejar», canciones que abordan temas de desamor y empoderamiento femenino.Mejores ofertas de auriculares. En 2010, su tema «Dime gitana» acaparó las emisoras radiales del Perú, consolidando su posición en la escena musical.",https://conciertos.com.pe/persona/marisol/,https://yt3.googleusercontent.com/4zX2n26hPIKv4csxLozbpY-7B2aCcAK-G2OYxvTAt73hM_L3UFennmYdBOOkmOi-mkcuDoXXyA=s900-c-k-c0x00ffffff-no-rj,,Cumbia,,168k,Dime Gitana,8M,https://open.spotify.com/intl-es/track/6hf88CbMYNFl4Fj0DiObYh?si=f2ba65c11ccf4275,
Corrazón Serrano,"Corazón Serrano es una agrupación musical de cumbia peruana fundada el 2 de febrero de 1993 en el Centro poblado de Bellavista de Cachiaco en el Distrito de Pacaipampa, Provincia de Ayabaca, Piura, Perú, dirigida por los hermanos Guerrero Neyra.",https://corazonserrano.com.pe/biografia/,https://corazonserrano.com.pe/wp-content/uploads/2024/04/24.04-Banner.webp,,Cumbia|Pop|Tecnocumbia,,1.1M,Olvídame,22M,https://open.spotify.com/intl-es/track/3byPMMRlOGtxRQx9IhChU9?si=94d85a53a22c400c,
Hermanos Yaipén,"Los Hermanos Yaipén comenzaron en la ciudad de Monsefú, a unos ochocientos kilómetros de distancia de la capital peruana. Sus antecedentes se encuentran en Grupo 5, fundado en 1973 por Elmer Yaipén Uypan y algunos de sus hermanos. Este músico, conocido también como El Faraón de la Cumbia, murió en un accidente de tránsito en 1999. Por este motivo, el mencionado conjunto musical fue reestructurado. Quedó en manos de Elmer Yaipén Jr. y Andy Yaipén, dos de los hijos del fundador.",https://www.buenamusica.com/los-hermanos-yaipen/biografia,https://statics.lakaribena.com.pe/2024/08/crop/66b2a12ec8820__700x430.webp,,Cumbia|Tecnocumbia,,491k,Necesito un Amor,32M,https://open.spotify.com/intl-es/track/6oKlVyi7WPXixkimXIgIL3?si=fe2cf0933c02412e,
Agua Bella,"La banda empezó en febrero del 2000, después de que las integrantes (Evelyn, Cynthia, Nancy y Giuliana)pasaran rigurosos castings. El primer disco compacto de Agua Bella lleva el título de Cariño Loco, en el cual se incluyen “Imposible olvidarte”, “Merezco un nuevo amor”, “Lucerito”, entre otros. Este CD alcanzó un alto nivel de ventas y se hizo merecedor de un disco de oro que fue entregado por la disquera IEMPSA.",https://www.last.fm/es/music/Agua+Bella/+wiki,https://elcomercio.pe/resizer/v2/MBMC7WYHGRFOJDVCP2Z4JLUWPQ.jpg?auth=2bbf1f2f511d51a8814c98d0fb9e47dbb73428fcb48c833d5e6e8f2bb58ae679&width=980&height=528&quality=75&smart=true,,Cumbia|Tecnocumbia,,195k,Voy a Buscarme un Amor,9M,https://open.spotify.com/intl-es/track/0IGpE4M5z9RXaaRl0Jde8h?si=cba01a24374b4d56,
La Única Tropical,"La historia de La Única Tropical comenzó en los vibrantes barrios de Lima, Perú, a principios de los años 90. Este grupo, conocido por su estilo inconfundible de cumbia peruana, se formó bajo circunstancias modestas pero llenas de sueños y ambición. Los fundadores, Jorge Fernández y María Contreras, crecieron en un entorno donde la música era el escape perfecto de la dura realidad cotidiana.",https://www.musica.com/la-unica-tropical/biografia,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEggaEJD2_sPIThWC98WrlLTtpoVDEk6MQGx3TbyRm8uYqJ-M9l7kN2MHpCXLaNvrkdZO5Qu2jl7jiaZ2XeysC-U0WWJmSn1ooA2BPUvM5dcV3yYp1CjEKaYzAdigU7COBf9bXdWU3X8aMTTbFVUXfS9tjAdyoBOPGTxh1GXuEhI_RpUAdEAxTnydQ-K0pI/w1200-h630-p-k-no-nu/la%20unica%20tropical%20en%20Arequipa%20-%2001%20de%20junio%20NUEVA%20FECHA.jpeg,,Cumbia,,1M,Partido en Dos,49M,https://open.spotify.com/intl-es/track/7sPqCI54XxKNaOoGooaeCp?si=f5a294f2b73d4b81,
Maricarmen Marín,"Maricarmen Marín (n. Lima, 25 de septiembre de 1982) es una cantante, actriz, empresaria y productora peruana. Hizo su debut como cantante con el grupo ""Alma Bella"", después, inició su carrera musical como solista, publicando su álbum ""Me enamoré y qué"". En el 2008, planea lanzar ""Cumbia Poder"", su segundo álbum. Empezó su carrera artística siendo integrante del grupo de música cumbia ""Agua Bella"", con la cual grabo cuatro producciones discográficas, y viajó a distintos puntos internacionales.",https://www.musica.com/letras.asp?biografia=20824,https://elcomercio.pe/resizer/5H39cq-QC330rO-6iqVyrDb7L0g=/1200x800/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/XZHTTSOXDVHE3JUV4STQDZPXGA.jpg,,Cumbia|Pop|Andino,,193k,Porqué Te Fuiste,26M,https://open.spotify.com/intl-es/track/3xsy9cyy4k6glloiOWhQb0?si=47da8e675b1d4d76,
